Filename,Value,Date,Column_Detail
c1fe2967-6a45-4469-b203-cd289100bd57.xls,13411.0,۱۴۰۰/۰۵/۳۱,تعداد تولید
1b04c298-6fbe-4ba3-b466-62f317e16065.xls,15175.0,۱۴۰۰/۰۶/۳۱,تعداد تولید
5624b460-85f3-43c6-b16a-1cadc3ab230f.xls,16221.95,۱۴۰۰/۰۷/۳۰,تعداد تولید
057ff4ea-d363-41e7-9ffa-34b48ed1246e.xls,17585.51,۱۴۰۰/۰۸/۳۰,تعداد تولید
c3b89a68-0e30-48ca-8b81-f902ee2d121d.xls,20169.0,۱۴۰۰/۰۹/۳۰,تعداد تولید
8cac28c5-3e6e-4bce-9b4b-c0b0a4784d29.xls,18755.0,۱۴۰۰/۱۰/۳۰,تعداد تولید
e48085cc-9f12-4ea1-9334-371ae86a1a88.xls,16409.0,۱۴۰۰/۱۱/۳۰,تعداد تولید
76eb5d39-e81b-4cc1-b4fe-4c4a667e7a98.xls,15505.54,۱۴۰۰/۱۲/۲۹,تعداد تولید
9b83b316-8caf-4ee3-8cdd-8d542ce522db.xls,15505.54,۱۴۰۰/۱۲/۲۹,تعداد تولید
33712f03-28ca-4140-b836-00da55faa92c.xls,490496.0,۱۴۰۱/۰۲/۳۱,تعداد تولید
69066e35-9bed-4c0f-aa65-98de64ab4869.xls,665450.0,۱۴۰۱/۰۳/۳۱,تعداد تولید
e0789c92-4c7d-4f25-a864-11091c892ddc.xls,532153.0,۱۴۰۱/۰۴/۳۱,تعداد تولید
dbea75ec-75f6-4bba-b606-0dfae49e19a2.xls,490972.0,۱۴۰۱/۰۵/۳۱,تعداد تولید
95f34078-32a7-45af-b8fb-88f159a9a6e3.xls,14613.0,۱۴۰۱/۰۶/۳۱,تعداد تولید
8d62a8ce-c9a4-44e1-8f4c-4c833cf1f8a9.xls,14712.77,۱۴۰۱/۰۶/۳۱,تعداد تولید
92f6977d-cda6-4904-8615-f678bc36688c.xls,11331.0,۱۴۰۱/۰۷/۳۰,تعداد تولید
eda9e168-c631-4f82-a843-d253ff3a9533.xls,14224.0,۱۴۰۱/۰۸/۳۰,تعداد تولید
